,Brand,Reference,Google Search Code,Category,Name,Product Page URL,Price(Euros),Product Url,Product Price
0,O'NEILL,0A4972-9950 BLACK AOP,0A4972-9950,Sandals,FB ARCH PRINT SANDALS,,,https://www.oneill.com/eu/en/arch-print-sandals/0A4972-9950-301.html,€16.09
1,O'NEILL,9P1070-5056 Ink Blue,9P1070-5056,Jackets,LB CHARGER PARKA,,,https://www.oneill.com/fr/en/charger-parka-jacket/9P1070-5056-116.html,€76.99
2,O'NEILL,9P1070-6077 Winter Mos,9P1070-6077,Jackets,LB CHARGER PARKA,,,https://www.oneill.com/eu/en/charger-parka-jacket/9P1070-6077-140.html,€76.99
3,O'NEILL,8P1072-5056 Ink Blue,8P1072-5056,Jackets Technical,LB TRANSIT JACKET,,,Url Not Found,No Url to scrape price
4,O'NEILL,8P1072-5112 Surf Blue,8P1072-5112,Jackets Technical,LB TRANSIT JACKET,,,Url Not Found,No Url to scrape price
5,O'NEILL,0A2780-1250 Light Auth,0A2780-1250,Pants,LB TITO 5 POCKET DENIM PANTS,,,https://www.oneill.com/gb/en/tito-denim-pants/0A2780-1250-152.html?channable=e96832.MEEyNzgwLTEyNTAtMTUy,Not able to scrape Price.
6,O'NEILL,0A2782-1250 Light Auth,0A2782-1250,Pants,LB MINGO 5 POCKET DENIM PANTS,,,https://www.oneill.com/eu/en/mingo-denim-pants/0A2782-1250-104.html,Not able to scrape Price.
7,O'NEILL,9P2772-5204 Scale,9P2772-5204,Pants,LB STRINGER DENIM,,,https://www.oneill.com/eu/en/stringer-denim-pants/9P2772-5204-128.html,Not able to scrape Price.
8,O'NEILL,0A2776-1250 Light Auth,0A2776-1250,Pants,LB 5-POCKET JOG DENIM PANTS,,,https://www.oneill.com/eu/en/5-pocket-denim-pants/0A2776-1250-104.html,Not able to scrape Price.
9,O'NEILL,0A2570-6077 Winter Mos,0A2570-6077,Shorts,LB FRIDAY NIGHT CHINO SHORTS,,,https://www.oneill.com/fr/en/friday-night-chino-shorts/0A2570-6077-128.html,€32.19
